date;T;RG;RH;ET0
2012-01-01;-8.7;6.75;66.7;0
2012-01-02;0.7;7.2;42;0.14
2012-01-03;4;6.76;41;0.65
2012-01-04;5.3;5.37;31.3;0.77
2012-01-05;5.5;5.02;33.1;0.73
2012-01-06;-4.5;7.31;54.7;0
2012-01-07;-5.2;6.64;53.7;0
2012-01-08;-4.4;7.5;55.4;0
2012-01-09;2.5;7.55;53.3;0.43
2012-01-10;-0.5;6.6;57.7;0
2012-01-11;-13.1;5.78;84.2;0
2012-01-12;-13;5.13;72.5;0
2012-01-13;-4.6;7.44;62.6;0
2012-01-14;-1.9;6.63;42.2;0
2012-01-15;-4.3;5.16;48.7;0
2012-01-16;-15.2;3.25;85.9;0
2012-01-17;-13.8;8.47;55.4;0
2012-01-18;-12.8;4.9;70;0
2012-01-19;-7.1;6.69;69.1;0
2012-01-20;-8.1;8;75.6;0
2012-01-21;1.4;5.41;74.1;0.2
2012-01-22;-4;5.7;78.5;0
2012-01-23;-4.2;8.94;49;0
2012-01-24;-4.5;8.67;63.5;0
2012-01-25;0.3;5.98;45.8;0.05
2012-01-26;-1.7;7.15;59.2;0
2012-01-27;-6.4;3.51;73.9;0
2012-01-28;-8;6.65;51.4;0
2012-01-29;0.4;5.88;44;0.07
2012-01-30;2;5.96;47.1;0.31
2012-01-31;-1.2;8.98;58.2;0
2012-02-01;-2;7.62;52.2;0
2012-02-02;-2.2;6.18;60.3;0
2012-02-03;-5.4;6.65;89.7;0
2012-02-04;-4.2;10.65;71.1;0
2012-02-05;-0.8;11.11;47.7;0
2012-02-06;-6;5.74;75;0
2012-02-07;-11.2;5.3;89.6;0
2012-02-08;-9;10.05;81.8;0
2012-02-09;-6.5;9.02;64.2;0
2012-02-10;-17.7;10.74;77.6;0
2012-02-11;-13.6;12.65;58;0
2012-02-12;-2.1;11.18;65.4;0
2012-02-13;-3;9.7;74.4;0
2012-02-14;-4;7.46;80;0
2012-02-15;-7.5;10.16;73.4;0
2012-02-16;-3.9;12.73;50.1;0
2012-02-17;-5.6;9.96;64.2;0
2012-02-18;-2.9;13.46;65;0
2012-02-19;-3.3;6.15;85.3;0
2012-02-20;-6.1;12;72.6;0
2012-02-21;-4.2;6.07;83.8;0
2012-02-22;-2.5;3;95.4;0
2012-02-23;-6.6;4.47;90.9;0
2012-02-24;-8.3;8.35;86.4;0
2012-02-25;-2.3;11.63;66.3;0
2012-02-26;-10;6.68;86.6;0
2012-02-27;-7.3;8.6;58.6;0
2012-02-28;-7.5;4.87;74.5;0
2012-02-29;-5.5;15.45;71.2;0
2012-03-01;-4.7;16.14;54.7;0
2012-03-02;-9.9;9.78;81.6;0
2012-03-03;-3.5;10.28;77;0
2012-03-04;-0.7;10.78;72.5;0
2012-03-05;4.5;16.45;40.8;1.5
2012-03-06;0.2;9.88;60.3;0.05
2012-03-07;-8.4;14.03;79;0
2012-03-08;-2.4;17.46;48.2;0
2012-03-09;6.8;17.08;24.8;2.52
2012-03-10;9.3;18.38;16.6;3.59
2012-03-11;8.6;18.7;27.6;3.1
2012-03-12;4.9;17.63;40.7;1.71
2012-03-13;8.6;14.43;31.3;2.37
2012-03-14;4.2;16.41;43.5;1.37
2012-03-15;7.5;18.39;39;2.45
2012-03-16;10.8;17.59;35.5;3.08
2012-03-17;10.6;16.79;38.6;2.82
2012-03-18;10.4;15.45;25.7;3
2012-03-19;0.4;14.21;66.2;0.13
2012-03-20;-0.2;20.17;47.2;0
2012-03-21;7.5;17.7;24.2;2.8
2012-03-22;10.3;19.99;22.4;3.89
2012-03-23;12;17.95;25;3.75
2012-03-24;4.4;18.91;61.1;1.48
2012-03-25;11.5;19.46;49.6;2.92
2012-03-26;9.3;11.64;42.4;1.81
2012-03-27;5.5;17.17;62.3;1.6
2012-03-28;9.3;20.25;24.8;3.61
2012-03-29;7.7;19.17;45.1;2.39
2012-03-30;11.4;18.7;31.8;3.51
2012-03-31;14.8;20.83;28.5;4.61
2012-04-01;12.1;22.02;32.2;4.19
2012-04-02;1.1;6.39;67.1;0.18
2012-04-03;3.6;22.48;38.6;1.71
2012-04-04;8.1;22.3;40.1;3.03
2012-04-05;10.9;21.13;50.2;3.03
2012-04-06;4.4;15.09;78.6;1.21
2012-04-07;-1;19.04;62.9;0
2012-04-08;1.7;23.15;36.7;0.95
2012-04-09;3;22.59;38.3;1.49
2012-04-10;3.1;22.66;44.5;1.42
2012-04-11;11.3;22.8;66.2;3.32
2012-04-12;8.7;19.29;66.2;2.43
2012-04-13;3.9;17.39;63.6;1.25
2012-04-14;2.2;3.92;89.7;0.24
2012-04-15;-2.1;3.93;96.3;0
2012-04-16;-0.5;14.17;79.3;0
2012-04-17;6.1;12.88;62.2;1.34
2012-04-18;5.3;12.63;62.6;1.19
2012-04-19;3.8;14.59;82.1;1.05
2012-04-20;5.8;17.69;60.8;1.71
2012-04-21;6.5;20.82;53;2.15
2012-04-22;7.6;25.67;41.3;3.25
2012-04-23;17.3;25.35;24.3;6.23
2012-04-24;16.7;23.25;35;5.03
2012-04-25;12.9;22.31;45.2;3.74
2012-04-26;15.2;20.28;46.4;3.67
2012-04-27;5;4.66;90.9;0.52
2012-04-28;-1.7;7.44;95.7;0
2012-04-29;1.3;17.6;81.1;0.49
2012-04-30;8.1;20.97;43.6;2.74
2012-05-01;8.8;21.75;54.4;2.73
2012-05-02;10.2;24.98;54.2;3.4
2012-05-03;9;12.59;64.1;1.71
2012-05-04;12.3;16.91;66.9;2.65
2012-05-05;4.1;4.67;94.9;0.45
2012-05-06;4.2;25.57;58.9;1.88
2012-05-07;4.5;22.35;45.8;1.85
2012-05-08;5.8;28.28;43.7;2.86
2012-05-09;13.5;26.53;28.8;5.48
2012-05-10;9.6;23.95;48.6;3.21
2012-05-11;2.6;18.17;45.8;0.98
2012-05-12;7;28.99;40.3;3.49
2012-05-13;12.3;28.38;31.4;5.39
2012-05-14;15.7;28.91;20.8;6.97
2012-05-15;12.9;28.6;31.9;5.54
2012-05-16;18.6;24.87;27.6;6.11
2012-05-17;15.5;19.6;39.9;3.91
2012-05-18;11.4;12.64;72.1;1.97
2012-05-19;4.8;25.02;76.3;2.04
2012-05-20;9.9;25.73;47.9;3.53
2012-05-21;16.7;27.89;38;5.74
2012-05-22;14.2;15.83;43.6;2.95
2012-05-23;6.5;13.14;66.8;1.43
2012-05-24;3.9;9.5;82;0.74
2012-05-25;0.9;4.31;97.2;0.11
2012-05-26;5.6;9.17;99.8;0.95
2012-05-27;8.1;23.61;70.2;2.79
2012-05-28;4.5;19.08;73.6;1.51
2012-05-29;7;27.56;67.4;2.92
2012-05-30;7.6;16.39;73.5;1.93
2012-05-31;9.3;21.63;61.9;2.81
2012-06-01;10.8;22.26;70.2;3.16
2012-06-02;14.8;27.43;49.7;4.56
2012-06-03;15.8;28.74;60.1;4.9
2012-06-04;21.6;28.81;40.3;6.44
2012-06-05;21.3;23.09;34.9;5.57
2012-06-06;16.5;30.54;34.3;6.49
2012-06-07;10.9;10.77;75.7;1.68
2012-06-08;15.1;27.82;56.8;4.65
2012-06-09;12.8;29.42;64.6;4.5
2012-06-10;9.2;24.66;66;3.15
2012-06-11;9.6;18.2;76.9;2.46
2012-06-12;12.2;22.48;57.9;3.42
2012-06-13;15.8;28.54;41.4;5.47
2012-06-14;13.3;30.42;48.2;4.86
2012-06-15;16.7;28.35;51;4.97
2012-06-16;12.4;29.65;53;4.45
2012-06-17;19.2;27.66;37.1;6.13
2012-06-18;17.6;29.42;44.7;5.67
2012-06-19;12.4;21.95;66.2;3.37
2012-06-20;8.6;19.32;68.5;2.42
2012-06-21;13.1;30.21;51.8;4.67
2012-06-22;16.7;27.82;53.1;4.89
2012-06-23;22.2;29.42;57.6;5.83
2012-06-24;23.6;27.36;52.6;5.58
2012-06-26;26.2;29.98;22.2;8.83
2012-06-27;18.9;25.59;43;5.26
2012-06-28;20;31.06;31.8;7.4
2012-06-29;22.3;30.85;36.5;7.28
2012-06-30;21;29.44;39;6.6
2012-07-01;23.7;26.45;29.8;6.98
