date;T;RG;RH
2012-01-01;-8.7;6.75;66.7
2012-01-02;0.7;7.2;42
2012-01-03;4;6.76;41
2012-01-04;5.3;5.37;31.3
2012-01-05;5.5;5.02;33.1
2012-01-06;-4.5;7.31;54.7
2012-01-07;-5.2;6.64;53.7
2012-01-08;-4.4;7.5;55.4
2012-01-09;2.5;7.55;53.3
2012-01-10;-0.5;6.6;57.7
2012-01-11;-13.1;5.78;84.2
2012-01-12;-13;5.13;72.5
2012-01-13;-4.6;7.44;62.6
2012-01-14;-1.9;6.63;42.2
2012-01-15;-4.3;5.16;48.7
2012-01-16;-15.2;3.25;85.9
2012-01-17;-13.8;8.47;55.4
2012-01-18;-12.8;4.9;70
2012-01-19;-7.1;6.69;69.1
2012-01-20;-8.1;8;75.6
2012-01-21;1.4;5.41;74.1
2012-01-22;-4;5.7;78.5
2012-01-23;-4.2;8.94;49
2012-01-24;-4.5;8.67;63.5
2012-01-25;0.3;5.98;45.8
2012-01-26;-1.7;7.15;59.2
2012-01-27;-6.4;3.51;73.9
2012-01-28;-8;6.65;51.4
2012-01-29;0.4;5.88;44
2012-01-30;2;5.96;47.1
2012-01-31;-1.2;8.98;58.2
2012-02-01;-2;7.62;52.2
2012-02-02;-2.2;6.18;60.3
2012-02-03;-5.4;6.65;89.7
2012-02-04;-4.2;10.65;71.1
2012-02-05;-0.8;11.11;47.7
2012-02-06;-6;5.74;75
2012-02-07;-11.2;5.3;89.6
2012-02-08;-9;10.05;81.8
2012-02-09;-6.5;9.02;64.2
2012-02-10;-17.7;10.74;77.6
2012-02-11;-13.6;12.65;58
2012-02-12;-2.1;11.18;65.4
2012-02-13;-3;9.7;74.4
2012-02-14;-4;7.46;80
2012-02-15;-7.5;10.16;73.4
2012-02-16;-3.9;12.73;50.1
2012-02-17;-5.6;9.96;64.2
2012-02-18;-2.9;13.46;65
2012-02-19;-3.3;6.15;85.3
2012-02-20;-6.1;12;72.6
2012-02-21;-4.2;6.07;83.8
2012-02-22;-2.5;3;95.4
2012-02-23;-6.6;4.47;90.9
2012-02-24;-8.3;8.35;86.4
2012-02-25;-2.3;11.63;66.3
2012-02-26;-10;6.68;86.6
2012-02-27;-7.3;8.6;58.6
2012-02-28;-7.5;4.87;74.5
2012-02-29;-5.5;15.45;71.2
2012-03-01;-4.7;16.14;54.7
2012-03-02;-9.9;9.78;81.6
2012-03-03;-3.5;10.28;77
2012-03-04;-0.7;10.78;72.5
2012-03-05;4.5;16.45;40.8
2012-03-06;0.2;9.88;60.3
2012-03-07;-8.4;14.03;79
2012-03-08;-2.4;17.46;48.2
2012-03-09;6.8;17.08;24.8
2012-03-10;9.3;18.38;16.6
2012-03-11;8.6;18.7;27.6
2012-03-12;4.9;17.63;40.7
2012-03-13;8.6;14.43;31.3
2012-03-14;4.2;16.41;43.5
2012-03-15;7.5;18.39;39
2012-03-16;10.8;17.59;35.5
2012-03-17;10.6;16.79;38.6
2012-03-18;10.4;15.45;25.7
2012-03-19;0.4;14.21;66.2
2012-03-20;-0.2;20.17;47.2
2012-03-21;7.5;17.7;24.2
2012-03-22;10.3;19.99;22.4
2012-03-23;12;17.95;25
2012-03-24;4.4;18.91;61.1
2012-03-25;11.5;19.46;49.6
2012-03-26;9.3;11.64;42.4
2012-03-27;5.5;17.17;62.3
2012-03-28;9.3;20.25;24.8
2012-03-29;7.7;19.17;45.1
2012-03-30;11.4;18.7;31.8
2012-03-31;14.8;20.83;28.5
2012-04-01;12.1;22.02;32.2
2012-04-02;1.1;6.39;67.1
2012-04-03;3.6;22.48;38.6
2012-04-04;8.1;22.3;40.1
2012-04-05;10.9;21.13;50.2
2012-04-06;4.4;15.09;78.6
2012-04-07;-1;19.04;62.9
2012-04-08;1.7;23.15;36.7
2012-04-09;3;22.59;38.3
2012-04-10;3.1;22.66;44.5
2012-04-11;11.3;22.8;66.2
2012-04-12;8.7;19.29;66.2
2012-04-13;3.9;17.39;63.6
2012-04-14;2.2;3.92;89.7
2012-04-15;-2.1;3.93;96.3
2012-04-16;-0.5;14.17;79.3
2012-04-17;6.1;12.88;62.2
2012-04-18;5.3;12.63;62.6
2012-04-19;3.8;14.59;82.1
2012-04-20;5.8;17.69;60.8
2012-04-21;6.5;20.82;53
2012-04-22;7.6;25.67;41.3
2012-04-23;17.3;25.35;24.3
2012-04-24;16.7;23.25;35
2012-04-25;12.9;22.31;45.2
2012-04-26;15.2;20.28;46.4
2012-04-27;5;4.66;90.9
2012-04-28;-1.7;7.44;95.7
2012-04-29;1.3;17.6;81.1
2012-04-30;8.1;20.97;43.6
2012-05-01;8.8;21.75;54.4
2012-05-02;10.2;24.98;54.2
